PROVINCIA,CANTON,MES,DIA,HORA,CLASE,CAUSA,ZONA,NUM_LESIONADO,NUM_FALLECIDO,TOTAL_VICTIMAS
18,1801,1,5,4,4,1,1,0,0,0
18,1801,1,5,14,4,1,1,0,0,0
18,1801,1,5,6,3,1,2,0,0,0
18,1801,1,5,11,4,1,1,0,0,0
18,1801,1,5,22,4,10,2,3,0,3
18,1801,1,5,23,3,7,1,2,0,2
18,1801,1,5,11,3,7,1,0,0,0
18,1801,1,7,5,3,1,1,2,0,2
18,1801,1,7,5,1,1,1,1,0,1
18,1801,1,7,13,3,7,1,0,0,0
18,1801,1,7,12,1,1,1,0,0,0
18,1801,1,7,19,5,4,1,0,0,0
18,1801,1,1,5,3,7,1,0,1,1
18,1801,1,1,13,1,3,1,0,0,0
18,1801,1,1,19,4,4,1,0,0,0
18,1801,1,2,7,1,5,1,1,0,1
18,1801,1,2,10,3,6,1,0,0,0
18,1801,1,2,21,3,4,1,0,0,0
18,1801,1,2,23,4,4,1,0,0,0
18,1801,1,3,13,3,7,1,3,0,3
18,1801,1,3,20,4,1,2,1,0,1
18,1801,1,5,6,3,7,1,2,0,2
18,1801,1,5,7,1,5,1,0,0,0
18,1801,1,5,12,1,5,1,0,0,0
18,1801,1,5,16,1,5,1,1,0,1
18,1801,1,6,2,3,1,1,1,0,1
18,1801,1,6,0,4,1,1,0,0,0
18,1801,1,6,13,1,3,2,1,0,1
18,1801,1,6,17,3,6,1,0,0,0
18,1801,1,6,21,3,2,1,1,0,1
18,1801,1,7,3,3,3,2,2,0,2
18,1801,1,7,7,4,1,1,0,0,0
18,1801,1,7,13,3,7,1,0,0,0
18,1801,1,7,17,4,3,1,0,0,0
18,1801,1,1,23,6,1,2,0,0,0
18,1801,1,1,15,3,4,1,0,0,0
18,1801,1,2,8,4,6,1,1,0,1
18,1801,1,2,1,3,7,1,0,0,0
18,1801,1,2,7,5,7,2,0,0,0
18,1801,1,2,13,3,3,1,1,0,1
18,1801,1,2,17,4,7,1,0,0,0
18,1801,1,2,18,3,7,1,1,0,1
18,1801,1,2,20,3,7,1,1,0,1
18,1801,1,3,12,5,4,1,0,0,0
18,1801,1,3,9,1,5,1,1,0,1
18,1801,1,3,11,4,6,2,5,0,5
18,1801,1,3,21,3,7,1,2,0,2
18,1801,1,4,1,4,7,2,0,0,0
18,1801,1,4,17,3,7,1,1,0,1
18,1801,1,4,17,3,3,2,0,0,0
18,1801,1,4,22,3,3,1,0,0,0
18,1801,1,5,1,4,1,1,0,0,0
18,1801,1,5,2,5,2,1,0,0,0
18,1801,1,5,12,1,3,1,1,0,1
18,1801,1,5,18,4,1,1,1,0,1
18,1801,1,6,2,1,1,2,2,0,2
18,1801,1,6,11,4,1,1,0,0,0
18,1801,1,6,19,3,1,1,0,0,0
18,1801,1,6,20,3,1,2,0,0,0
18,1801,1,7,4,6,1,1,0,0,0
18,1801,1,7,5,5,4,1,0,0,0
18,1801,1,7,14,3,2,1,1,0,1
18,1801,1,7,23,4,1,1,0,0,0
18,1801,1,1,5,3,3,1,0,0,0
18,1801,1,1,5,3,7,1,0,0,0
18,1801,1,1,6,4,6,1,2,0,2
18,1801,1,1,19,5,7,1,0,0,0
18,1801,1,2,0,3,7,1,0,0,0
18,1801,1,3,1,4,10,1,0,0,0
18,1801,1,2,18,3,7,1,0,0,0
18,1801,1,3,13,3,6,1,0,0,0
18,1801,1,3,15,3,4,1,0,0,0
18,1801,1,3,19,8,6,1,0,0,0
18,1801,1,3,16,5,4,1,0,0,0
18,1801,1,3,17,1,5,1,1,0,1
18,1801,1,3,20,3,9,1,0,0,0
18,1801,1,2,7,3,4,1,0,0,0
18,1801,1,3,8,1,7,2,1,0,1
18,1801,1,4,7,3,7,1,1,0,1
18,1801,1,4,12,3,7,1,1,0,1
18,1801,1,4,15,1,5,1,0,1,1
18,1801,1,4,2,4,3,2,0,0,0
18,1801,1,5,13,1,7,1,0,0,0
18,1801,1,5,16,5,1,1,0,0,0
18,1801,1,5,15,6,9,2,0,0,0
18,1801,1,5,21,4,4,1,0,0,0
18,1801,1,5,21,3,4,1,0,0,0
18,1801,1,5,18,3,4,1,0,0,0
18,1801,1,6,3,7,1,1,0,0,0
18,1801,1,6,7,6,6,2,1,1,2
18,1801,1,6,10,3,7,1,0,0,0
18,1801,1,6,14,3,2,2,0,0,0
18,1801,1,6,18,2,1,2,1,0,1
18,1801,1,6,16,3,4,2,0,0,0
18,1801,1,6,19,3,9,2,1,0,1
18,1801,1,7,2,4,1,2,0,0,0
18,1801,1,7,4,3,7,2,0,0,0
18,1801,1,7,11,1,5,2,0,0,0
18,1801,1,7,12,7,10,1,2,0,2
18,1801,1,7,17,3,10,1,0,0,0
18,1801,1,7,14,3,7,1,2,0,2
18,1801,1,1,22,6,3,2,3,0,3
18,1801,1,1,19,1,8,2,1,0,1
18,1801,1,2,6,3,7,2,0,0,0
18,1801,1,2,12,3,7,1,1,0,1
18,1801,1,2,13,3,2,1,0,0,0
18,1801,1,2,20,1,1,1,0,1,1
18,1801,1,2,23,3,4,1,1,0,1
18,1801,1,3,9,3,3,2,0,0,0
18,1801,1,4,15,1,1,2,1,0,1
18,1801,1,4,14,6,10,2,1,0,1
18,1801,1,4,18,3,4,1,1,0,1
18,1801,1,4,18,3,3,1,1,0,1
18,1801,1,4,20,3,7,1,0,0,0
18,1801,1,5,6,6,2,1,3,0,3
18,1801,1,5,13,1,5,2,1,0,1
18,1801,1,5,13,3,4,1,0,0,0
18,1801,1,5,17,3,4,1,0,0,0
18,1801,1,6,6,3,2,2,1,0,1
18,1801,1,6,18,1,1,2,1,0,1
18,1801,1,7,2,4,1,2,0,0,0
18,1801,1,7,4,4,1,1,0,0,0
18,1801,1,7,10,3,1,1,0,0,0
18,1801,1,7,14,3,4,1,0,0,0
18,1801,1,7,16,3,7,1,0,0,0
18,1801,1,7,17,3,4,1,0,0,0
18,1801,1,7,18,3,3,1,0,0,0
18,1801,1,7,21,4,1,1,3,0,3
1,0101,1,5,17,3,2,2,1,0,1
1,0101,1,5,1,1,5,1,1,0,1
1,0101,1,5,1,7,3,2,1,0,1
1,0101,1,7,2,7,1,2,0,0,0
1,0101,1,6,18,3,3,2,1,0,1
1,0101,1,7,13,3,7,1,0,0,0
1,0101,1,1,21,3,1,1,2,0,2
1,0101,1,1,18,3,4,1,0,0,0
1,0101,1,2,16,7,3,2,4,0,4
1,0101,1,2,22,4,1,1,0,0,0
1,0101,1,3,7,3,4,2,1,0,1
1,0101,1,3,17,7,3,1,1,0,1
1,0101,1,4,10,1,5,1,1,0,1
1,0101,1,4,13,3,7,1,1,0,1
1,0101,1,4,18,3,4,1,0,0,0
1,0101,1,4,21,3,7,1,0,0,0
1,0101,1,5,14,3,1,2,1,0,1
1,0101,1,6,0,3,7,1,6,0,6
1,0101,1,5,6,4,3,1,0,0,0
1,0101,1,6,10,4,4,1,0,0,0
1,0101,1,6,11,3,4,1,0,0,0
1,0101,1,6,18,3,4,1,0,0,0
1,0101,1,6,23,3,1,1,0,0,0
1,0101,1,7,2,7,3,1,0,0,0
1,0101,1,7,10,3,7,2,0,1,1
1,0101,1,7,11,3,4,1,0,0,0
1,0101,1,7,5,3,4,2,0,0,0
1,0101,1,7,16,3,7,2,2,0,2
1,0101,1,2,9,4,10,1,0,0,0
1,0101,1,2,7,3,2,1,0,0,0
1,0101,1,2,20,3,7,1,2,0,2
1,0101,1,4,20,3,2,1,1,0,1
1,0101,1,5,14,1,5,1,1,0,1
1,0101,1,6,6,7,1,1,3,0,3
1,0101,1,5,17,3,2,1,0,0,0
1,0101,1,6,17,3,4,1,2,0,2
1,0101,1,6,20,1,4,2,1,0,1
1,0101,1,7,14,3,2,1,1,0,1
1,0101,1,7,17,3,7,1,2,0,2
1,0101,1,7,4,4,1,1,0,0,0
